Soil Moisture,Temperature,Air Humidity,Date,Time
683.8029058,29.18490786,71.78969946,2024-06-20,09:00:00
408.5715671,33.70720471,77.97739053,2024-06-20,09:03:00
659.0920744,24.76031105,60.77628206,2024-06-20,09:06:00
842.929764,32.73851507,59.32354345,2024-06-20,09:09:00
414.1993203,25.69274449,66.62491413,2024-06-20,09:12:00
487.5212262,33.80680929,47.77469251,2024-06-20,09:15:00
820.8567329,32.65949511,40.31759197,2024-06-20,09:18:00
726.5048072,38.08393948,50.91595054,2024-06-20,09:21:00
939.9159784,35.43074707,60.82272131,2024-06-20,09:24:00
628.397718,34.23292319,42.99440241,2024-06-20,09:27:00
780.3895476,32.45140078,72.28222536,2024-06-20,09:30:00
768.7010788,22.61185697,62.21459137,2024-06-20,09:33:00
468.513799,27.01024863,61.77921565,2024-06-20,09:36:00
801.6475766,24.74705146,64.86232578,2024-06-20,09:39:00
651.9454739,24.01856157,56.57166562,2024-06-20,09:42:00
685.823752,32.96375881,64.836761,2024-06-20,09:45:00
552.4985002,27.99827866,62.05800089,2024-06-20,09:48:00
527.5880503,27.89698264,49.92390283,2024-06-20,09:51:00
762.5760332,34.83673164,45.72879474,2024-06-20,09:54:00
440.6303956,22.46622021,40.23528975,2024-06-20,09:57:00
748.5945452,32.37186722,50.51121641,2024-06-20,10:00:00
541.4624976,23.01426608,67.31921149,2024-06-20,10:03:00
466.5218472,23.28497444,71.65649789,2024-06-20,10:06:00
903.2674218,25.51245583,74.57481526,2024-06-20,10:09:00
673.6411749,31.48275853,41.97814358,2024-06-20,10:12:00
400.7745337,37.03853837,58.10408442,2024-06-20,10:15:00
783.7697805,36.83077335,81.20181201,2024-06-20,10:18:00
424.8419871,38.64757166,71.10451413,2024-06-20,10:21:00
754.14794,22.2119609,54.84962341,2024-06-20,10:24:00
805.9594626,29.33212651,72.40464911,2024-06-20,10:27:00
395.4654845,31.99541439,77.41809636,2024-06-20,10:30:00
673.7875478,19.02299534,78.80498538,2024-06-20,10:33:00
731.7512713,26.22425309,76.7051323,2024-06-20,10:36:00
462.1622986,34.90846594,44.35794312,2024-06-20,10:39:00
927.8079638,35.28726983,39.99390152,2024-06-20,10:42:00
898.8926732,23.86116554,61.51615757,2024-06-20,10:45:00
